TreeID,TreePosX(meter),TreePosY(meter),TreePosZ(meter),Tree Height(meter),DBH(meter),Crown Diameter(meter),Crown Diameter(S-N)(meter),Crown Diameter(E-W)(meter),Crown Area(square meter),Crown Volume(cubic meter),CBH(meter),Altitude(meter),Trunk Volume(cubic meter),Trunk Curvature(%),Trunk Sections
2,531648.641,489119.398,14.437,5.4,0,31.6,28,35.6,594.5,2611.8,5.1,893.8,0,-1,
5,531695.596,489183.961,10.145,10.1,0,26.4,27.3,25.6,420.4,2135.4,3.9,896.2,0,-1,
10,531717.424,489135.73,1.3,23.8,0.322,13.8,9.6,19.8,141.2,614.2,14.7,944,1.388,426.452,0.0(56.1)-0.8(53.2)-1.0(52.4)-2.9(34.6)-3.8(30.8)-4.0(30.7)
11,531689.482,489136.92,1.3,2.6,0.113,23.8,19.5,29.1,407.1,2644.9,8.7,917.9,0,-1,
12,531716.024,489210.835,1.3,4.7,0.219,139.6,138.5,140.8,5442.1,36402.3,5.3,875.8,0,-1,
13,531718.014,489157.136,1.3,20.8,0.033,15.2,12.9,17.9,160.9,1511,16.4,929.1,0,-1,
15,531673.171,489122.685,18.213,18.2,0,40.1,36.8,43.8,922.7,6584.3,10.5,911,0,-1,
16,531709.336,489157.277,1.3,20.1,0.188,23.1,19,28.2,346.7,1690,6.8,914.4,1.514,5303.77,0.0(32.2)-1.0(30.3)-1.8(31.9)-2.3(36.0)-2.7(36.3)-3.1(36.1)-4.2(35.3)
17,531711.714,489152.858,1.3,7.4,0.093,14.4,15,13.9,131.6,723,5.9,928.5,0,-1,
18,531720.35,489144.68,1.3,18.4,0.125,8.8,7.3,10.7,50.6,166.2,12.9,937.1,0.374,568.492,0.0(23.5)-1.0(21.7)-1.3(21.1)-1.8(20.7)-2.1(21.1)-2.6(21.0)-2.8(20.9)-3.4(20.5)-3.6(20.4)-3.8(20.2)-4.4(19.8)-4.6(19.6)-5.0(19.3)
20,531757.799,489210.276,1.3,18.1,0.498,13.1,13.4,12.9,123.7,696.6,14.6,933.1,5.609,48.669,0.0(46.6)-2.2(52.1)-2.7(53.0)-2.9(53.5)-3.5(55.6)-4.5(72.9)
23,531740.221,489153.053,1.3,32.6,0.448,17.7,19.4,16.2,232.6,2305,21.9,944.1,4.212,27.48,0.0(49.2)-0.6(47.9)-1.6(44.9)-2.7(52.8)-4.8(53.6)
24,531797.741,489163.123,1.3,21,0.248,30,24.2,37.3,667.9,7639.3,14,943.8,8.666,158.229,0.0(102.4)-0.8(97.3)-1.1(95.2)-1.3(94.6)-1.9(93.5)-2.3(92.5)-2.9(91.2)-3.1(90.7)-3.7(89.3)-4.1(88.4)-5.1(86.0)
25,531716.517,489146.221,1.3,28.4,0.243,24.2,22.8,25.7,350.9,1224.6,18.3,933.5,1.417,701.619,0.0(33.3)-0.8(31.8)-1.1(31.4)-1.2(31.7)-1.7(34.4)-2.0(34.9)-2.2(34.9)-2.9(34.5)-3.1(34.3)-3.2(34.2)-3.4(34.0)-3.7(33.9)-4.3(33.5)-4.8(33.1)
26,531729.213,489141.572,1.3,13,0.213,6.7,5.9,7.5,31.7,103.2,7.3,946.2,1.763,299.173,0.0(41.7)-0.9(37.4)-1.5(36.2)-1.9(36.2)-2.5(38.1)-2.7(41.8)-3.1(45.7)-3.3(46.1)-3.5(46.5)-4.1(55.5)-4.3(56.6)-4.7(57.2)-4.8(57.3)
27,531776.981,489192.376,19.662,16.9,0,26.8,31.1,23.1,434.7,2188.6,11.9,941.5,0,-1,
28,531760.166,489199.203,1.3,24.9,0.211,30,28.5,31.5,662.8,3754.7,10.1,929.2,23.813,3.48,0.0(160.1)-1.0(150.5)-1.7(144.5)-3.1(141.5)
