TreeID,TreePosX(meter),TreePosY(meter),TreePosZ(meter),Tree Height(meter),DBH(meter),Crown Diameter(meter),Crown Diameter(S-N)(meter),Crown Diameter(E-W)(meter),Crown Area(square meter),Crown Volume(cubic meter),CBH(meter),Altitude(meter),Old Tree ID
1,531701.38,489200.049,1.3,9.8,0.168,17.7,17.5,18,117.3,424.7,2.1,894.9,10
2,531648.641,489119.398,14.437,24,0,29,28,30,560.6,2434.7,4.8,893.8,6
3,531679.957,489167.902,1.3,3,0.477,15.1,12.9,17.7,111.2,475.1,2.5,895.6,3
4,531658.774,489144.638,1.3,4.7,0.076,2.7,2.1,3.6,4.9,8.2,2.8,895.8,7
5,531695.596,489183.961,10.145,10.1,0,26.4,27.3,25.6,420.4,2135.4,4.3,896.2,1
6,531681.624,489169.26,1.3,5.1,0.146,24,25.1,23,372.2,1462,1.4,899.1,2
7,531683.081,489170.653,1.3,3.6,0.066,27.5,23.9,31.6,477.4,2405.6,2.4,895.8,11
8,531659.447,489137.598,7.687,3.3,0,22.2,14.3,34.5,285.2,1045,2.4,895.1,5
9,531699.697,489166.11,8.393,5.2,0,16.4,12.2,22.1,176,752.3,3,917,4
10,531717.424,489135.73,1.3,23.8,0.322,13.8,9.6,19.8,141.2,614.2,14.7,944,19
11,531689.482,489136.92,1.3,2.6,0.113,23.8,19.5,29.1,407.1,2644.9,8.7,917.9,14
12,531716.024,489210.835,1.3,4.7,0.219,139.6,138.5,140.8,5442.1,36402.3,5.3,875.8,15
13,531718.014,489157.136,1.3,20.8,0.033,15.2,12.9,17.9,160.9,1511,16.4,929.1,16
14,531711.978,489152.905,1.3,5.5,0.23,9.8,10.5,9.1,53,142.2,1.8,929,20
15,531673.171,489122.685,18.213,18.2,0,33.2,36.8,30,767.8,5845.4,10.4,913.8,9
16,531709.336,489157.277,1.3,20.1,0.188,23.1,19,28.2,346.7,1690,8.3,914.4,8
17,531711.714,489152.858,1.3,7.4,0.093,14.4,15,13.9,131.6,723,5.9,928.5,13
18,531720.35,489144.68,1.3,18.4,0.125,8.8,7.3,10.7,50.6,166.2,12.9,937.1,18
19,531663.047,489149.475,1.3,5.3,0.304,22.5,19.5,26,337.8,1400.2,2.7,895.3,12
20,531757.799,489210.276,1.3,18.1,0.498,13.1,13.4,12.9,123.7,696.6,14.6,933.1,22
21,531762.254,489220.078,1.3,5.3,0.135,4.8,5.2,4.4,15.3,30.7,3.4,925.8,21
22,531792.573,489167.715,1.3,2,0.099,5.9,4.7,7.5,20.9,26.9,2.1,949.4,28
23,531740.221,489153.053,1.3,32.6,0.448,17.7,19.4,16.2,232.6,2305,21.9,944.1,31
24,531797.741,489163.123,1.3,21,0.248,30,24.2,37.3,667.9,7639.3,14,943.8,29
25,531716.517,489146.221,1.3,28.4,0.243,24.2,22.8,25.7,350.9,1224.6,18.3,933.5,17
26,531729.213,489141.572,1.3,13,0.213,6.7,5.9,7.5,31.7,103.2,7.3,946.2,38
27,531776.981,489192.376,19.662,16.9,0,26.8,31.1,23.1,434.7,2188.6,11.9,941.5,24
28,531760.166,489199.203,1.3,24.9,0.211,30,28.5,31.5,662.8,3754.7,10.1,929.2,23
29,531761.148,489149.279,1.3,13.8,0.115,37.8,37.4,38.3,969.1,11814.9,13.1,940.2,34
30,531725.175,489151.243,1.3,29.8,0.346,18.7,15.1,23.1,256.9,543,15.1,930.5,32
31,531729.631,489153.951,1.3,33.3,0.374,29.2,28.3,30.2,529.6,5369.6,10.2,928.8,30
32,531767.555,489133.675,1.3,14.9,0.193,22.8,18,29,393.3,2958.8,10.2,932.8,42
33,531723.187,489136.237,1.3,25.4,0.376,11.4,11.8,11.1,103.1,405.1,20.1,942.4,39
34,531729.591,489149.542,1.3,39.9,0.46,8.4,8.7,8.1,49.5,190.7,18.1,939.7,33
35,531738.659,489183.195,17.054,7.2,0,55.7,44.3,70.1,2462.3,10824.4,8.6,897.5,26
36,531814.148,489122.636,18.132,26.2,0,18.3,15.7,21.4,264.5,1935.7,9.7,922.6,60
37,531749.49,489189.228,1.3,13.9,0.09,16.9,13.7,20.8,198.1,1107.3,14.5,936.7,25
38,531801.034,489184.421,1.3,20.4,0.337,26.7,26.5,27,493.5,5673.8,10.8,943.7,27
39,531751.472,489185.622,1.3,19.8,0.104,29.3,28.2,30.5,573.9,4256.2,7,934.3,57
40,531741.589,489144.824,1.3,3,0.065,4.4,3.7,5.3,14.8,28.9,3.2,949.2,52
41,531764.2,489147.421,1.3,4.1,0.086,26.8,27.4,26.3,378.2,1903.1,21.8,947.2,36
42,531742.19,489128.154,1.3,22.8,0.289,12.1,8.7,16.8,109.6,911.6,11.2,943.2,43
43,531792.514,489161.799,1.3,19,0.198,11.1,10.5,11.8,84,260.6,13.7,948.9,46
44,531735.24,489136.337,1.3,4.7,0.439,3.1,3.3,2.9,5.2,7.4,1.7,949.6,40
45,531733.442,489148.841,1.3,18.7,0.21,5.3,4.9,5.8,22.6,103.6,8.3,944,35
46,531757.762,489181.713,1.3,5.5,0,4.4,3.8,5.1,13.2,27.4,2.3,947,61
47,531772.789,489140.217,1.3,3,0.218,20.3,24,17.1,279.2,1636.4,7.9,944.2,47
48,531736.495,489144.534,1.3,3.9,0.128,9,12.3,6.6,50.8,111,1.6,946.2,37
49,531749.509,489238.013,1.3,7.9,0.104,69.5,110,43.9,1952.6,11024.7,6.2,895.2,63
50,531779.446,489154.848,1.3,12,0.121,32.7,38.2,28,587.3,4648.6,7.6,941,59
51,531847.418,489134.241,1.3,13.8,0.13,22,21.9,22.2,350.1,3031.6,10.4,910.7,82
52,531814.125,489194.597,1.3,14.9,0.081,41.7,44.2,39.4,1098.8,8084.9,6.1,924.1,56
53,531758.39,489131.548,1.3,6.8,0.462,28.9,34.3,24.3,608.8,4760.8,8,931.8,48
54,531743.309,489126.033,1.3,13.7,0.258,18.4,11.8,28.6,201.1,578,14.5,943.9,45
55,531748.471,489126.856,1.3,10.5,0.182,2,1.6,2.5,2.4,5.3,5.9,942.1,44
56,531763.215,489227.437,1.3,2.8,0.152,56.3,53.5,59.3,1959.3,12865.8,5.4,897.6,68
57,531783.604,489158.581,1.3,16.8,0.384,17.9,19.9,16.1,189.7,781.3,9.1,948.8,51
58,531733.38,489134.447,1.3,25.6,0.342,11.2,9.8,12.9,82,516.8,15.6,948.9,41
59,531832.952,489131.019,1.3,14.1,0.128,4,4.5,3.5,9,14.8,10.4,924.1,72
60,531753.74,489235.159,1.3,6.7,0.286,5.2,5.2,5.3,17,44.9,2.5,911.8,69
61,531829.006,489165.188,1.3,12.8,0.092,32.2,36.7,28.2,606.2,4524.2,6.4,934.1,85
62,531839.752,489138.695,1.3,6.6,0.299,5.8,6.1,5.6,23.2,103.8,23.5,924.8,71
63,531797.512,489168.552,1.3,11.7,0.077,5.6,4.3,7.4,21.6,58.9,8.1,947.9,55
64,531759.968,489186.611,1.3,23.3,0.239,11.5,13.3,10,94.3,500.5,11.7,947.9,49
65,531746.222,489144.143,1.3,2.9,0.135,6.3,5,7.9,25.8,58.6,4.6,950.6,53
66,531833.547,489201.301,16.878,13.7,0,53,43.5,64.6,1836.9,16938.6,7.3,899.2,81
67,531747.49,489129.328,33.353,20.3,0,15.1,14.1,16.2,156.1,1830.9,21.9,944.9,54
68,531726.479,489175.647,1.3,3.8,0.516,42,38.3,46.1,1039.8,5472.7,8.4,910.2,50
69,531842.756,489127.837,1.3,14.1,0.259,8.6,9.4,7.9,48.5,128.1,8.7,918,74
70,531852.482,489149.67,1.3,12.1,0.114,14.7,15.3,14.1,127.5,730.6,12.1,916.4,77
71,531900.471,489136.658,1.3,4.2,0.125,9.8,7.5,12.9,52.1,136.4,1.3,886.3,111
72,531849.483,489168.594,1.3,11.5,0,22.2,23.5,20.9,305.2,2977.4,9,924.8,90
73,531737.703,489235.869,12.517,7.4,0,15.8,19.4,12.8,113.7,247.7,4.6,897.8,62
74,531764.256,489237.064,6.061,3.2,0,13.5,15.9,11.4,85,256.5,1.6,915.1,65
75,531788.843,489168.644,1.3,9.5,0.023,16.9,18.7,15.3,180.1,1221.4,7.8,950.2,58
76,531854.29,489156.07,1.3,15.2,0,14.1,12.8,15.5,129.5,1092.2,5,923.6,87
77,531759.326,489220.727,4.285,4.2,0,12.4,14.3,10.7,101.6,296.8,1.3,921.3,66
78,531866.265,489166.297,1.3,27.8,0.265,18,22.5,14.4,184.3,1107.1,14.2,913.2,70
79,531833.38,489161.437,1.3,17.2,0,16.1,15.7,16.6,168.6,785,8.4,930.4,92
80,531827.015,489172.027,1.3,12.9,0.084,8.2,10,6.7,48.2,136.5,6.1,938.5,84
81,531906.324,489146.575,1.3,5.7,0.56,11.9,13.1,10.8,91.7,236.8,4.4,886.4,117
82,531910.654,489213.057,1.3,5.3,0.187,16.7,14,19.9,187.2,1365.7,7.5,906.3,99
83,531754.615,489234.503,1.3,3.6,0.283,4.9,5.5,4.3,14.2,26.6,2.3,912.2,64
84,531826.719,489126.481,1.3,14.9,0.253,17.4,17.5,17.4,212,1604.8,9.5,923.5,79
85,531756.68,489232.61,4.056,3.9,0,4.1,4.9,3.4,10,25.8,1.7,918.6,67
86,531917.63,489221.571,1.3,2.7,0.406,11.3,10.6,12,69.1,190.5,1.3,906.4,95
87,531833.212,489125.297,1.3,14.7,2.028,17.1,13.5,21.7,233.1,425.1,6.8,919.4,75
88,531851.127,489147.441,1.3,13.3,0.368,18.7,24.9,14,212.1,1595.5,8,914.5,78
89,531921.443,489211.981,1.3,5.7,0.141,15.6,11.9,20.5,193.5,685.4,1.2,905.3,100
90,531926.271,489221.243,1.3,8.5,0.184,10,9.5,10.6,64,246,2.2,900.2,96
91,531869.663,489180.993,1.3,26,0.357,46.7,35.1,62.2,1606.7,12100.2,9,911.9,120
92,531879.585,489212.342,13.579,2.2,0,44,46.9,41.2,1229,6506.2,5.9,912.4,101
93,531835.989,489130.837,1.3,12.9,0.139,5.2,6.4,4.2,17.8,49.8,6.5,921.1,73
94,531911.487,489139.364,1.3,3.7,0.787,3.3,2.6,4.1,5.9,6.4,1.9,883.2,109
95,531858.068,489183.693,1.3,17.4,0.134,40.3,31.6,51.4,1240.7,22787.7,10.5,916.2,88
96,531912.044,489150.212,1.3,4.8,0.074,19.9,21.2,18.6,276.2,809.2,1.7,890,108
97,531847.394,489149.561,1.3,11.5,0.114,17.4,16.7,18.1,198.5,1192.2,6.8,924.3,76
98,531835.754,489185.675,1.3,18.8,0.115,24.4,25.9,23,450.4,3955.6,6,929.4,83
99,531899.888,489136.486,1.3,5.8,0.11,5.7,6.3,5.2,25.9,57.2,1.9,892.8,118
100,531939.356,489192.839,3.954,3.6,0,4.5,4,5,10.6,13.8,1.3,900.7,105
101,531915.503,489196.352,1.3,3.2,0.062,3.1,2.9,3.4,5.8,9.4,2.6,904.1,123
102,531934.186,489210.012,1.3,8.1,0.059,5.6,3.7,8.4,22.6,53.2,1.7,900.1,103
103,531866.138,489162.474,1.3,17,0.26,34.9,26.5,46,766.2,11914.7,17,913.3,80
104,531927.623,489188.575,1.3,6.3,0.155,9,7.3,11,38.9,82.8,2,900.6,114
105,531825.501,489150.468,1.3,14.6,0,31.2,30.3,32.1,535.6,5501.4,6.9,929.7,93
106,531928.048,489221.667,1.3,5.5,0.228,0.8,0.8,0.8,0.3,0.4,2.5,900.3,113
107,531851.759,489175.797,1.3,18.1,0,20.2,22.8,17.9,240.6,2707,14.5,924.1,89
108,531836.605,489134.661,1.3,17.6,0,15.2,15.6,14.8,152.8,1200.5,11.5,922.2,94
109,531664.596,489060.9,1.3,2,0.103,7.6,8.1,7.2,23.9,42.2,2.9,936.7,137
110,531915.613,489111.812,20.678,27,0,29.2,28.4,30,518.1,2048.3,7,882.9,124
111,531926.897,489243.23,44.39,44.4,0,69.6,70.6,68.6,1270.6,7181.6,25.7,900,129
112,531907.853,489169.841,44.057,4,0,40.4,43,37.9,1045.4,11596.5,14.5,900.8,106
113,531835.475,489208.83,1.3,21.9,0.215,64.3,67.5,61.2,2657.6,33773,14.5,902.7,86
114,531930.023,489214.812,1.3,6,0.214,4.5,4.5,4.5,13.2,35.9,2.1,901.6,115
115,531928.283,489213.338,1.3,3.4,0.143,5.6,5.5,5.7,21.6,65.8,1.8,905.7,98
116,531902.908,489230.722,1.3,2.7,0.074,11.1,10.9,11.3,85.4,171.5,1.8,912.3,126
117,531824.64,489163.123,1.3,11.8,0.046,7.8,7.5,8.1,40.9,129.6,3.2,937.7,91
118,531915.356,489219.284,1.3,2.8,0.195,11.3,10.8,11.9,78.3,197.6,3.1,908.6,97
119,531604.736,489059.427,1.3,3.8,0.032,28.4,21.5,37.5,481.9,1110.9,5.1,892.4,140
120,531661.816,489060.625,1.3,14.2,0.215,6.6,6.1,7.1,32,119,10.6,935.8,138
121,531654.122,488992.054,1.3,4.9,0,6.2,6.2,6.2,18.3,34.7,1.4,907.9,161
122,531629.827,489065.18,1.3,16.7,0.151,3.7,3.6,3.9,11,47.9,8,914.3,134
123,531939.884,489190.499,1.3,5.2,0.074,48.5,39.9,59,1528.1,13671.4,4.7,899.9,107
124,531881.367,489147.769,1.3,16,0.146,54.3,48.5,60.7,1940.7,37424.8,19.3,898.5,122
125,531896.339,489210.356,1.3,2.5,0.106,8.6,9.7,7.6,46.6,86.6,2.6,912.7,102
126,531663.108,489062.843,1.3,3.8,0.126,4.2,4.7,3.7,12.5,29.8,2.1,935.3,136
127,531899.862,489133.644,1.3,3.2,0.083,11.8,15.3,9.1,106.9,320.5,2.1,883.3,112
128,531934.067,489209.573,1.3,4.3,0.132,11.9,10,14.2,86.4,366,4.6,900.5,104
129,531640.838,488998.401,1.3,31,0.082,13,9.7,17.5,109.6,502.8,16.3,909.4,157
130,531674.103,489055.955,1.3,10.6,0.303,5.2,5.3,5.1,7.6,10.6,3.5,937.4,143
131,531596.612,488981.784,4.497,2,0,9.9,7.2,13.5,53.5,84.9,1.1,886.4,163
132,531670.646,489059.317,1.3,18.9,0.386,9.5,9.1,10,60.5,322.5,9.8,938.8,141
133,531929.013,489217.399,1.3,5.3,0.175,4.7,5.9,3.7,15.9,45,2.2,901.4,121
